size,num_rooms,rent_price,location,url
295 m²,T2,"1,700€/monthParking included","rua Comandante Cousteau, Expo Norte, Parque das Nações",https://www.idealista.pt/en/imovel/34085436/
160 m²,T1,"2,750€/month","rua Manuel Marques, Alto do Lumiar - Quinta das Conchas - Quinta do Lambert, Lumiar",https://www.idealista.pt/en/imovel/33948297/
180 m²,T1,"1,980€/month","largo das Olarias, Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/33947788/
155 m²,T1,"2,850€/month","avenida Marquês de Tomar, Gulbenkian - Praça Espanha, Avenidas Novas",https://www.idealista.pt/en/imovel/33948256/
140 m²,T1,"1,400€/month1,600 €13%","travessa do Calado, Centro, Penha de França",https://www.idealista.pt/en/imovel/33947697/
263 m²,T2,"4,000€/month","rua do Poço dos Negros, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/33948449/
165 m²,T1,"1,300€/month","rua Braamcamp Freire, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/33947418/
285 m²,T2,"2,000€/month","rua Rodrigues de Faria, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/en/imovel/33947972/
143 m²,T1,"2,200€/month","rua Nova do Desterro, Pena, Arroios",https://www.idealista.pt/en/imovel/33948099/
155 m²,T1,"1,200€/month1,300 €8%","rua Dom Carlos de Mascarenhas, Centro, Campolide",https://www.idealista.pt/en/imovel/33947389/
2130 m²,T2,"1,750€/month","Av. de Roma - Campo Pequeno, Areeiro",https://www.idealista.pt/en/imovel/34085211/
262 m²,T2,"1,550€/month","rua General Justiniano Padrel, Santa Engrácia, São Vicente",https://www.idealista.pt/en/imovel/33947634/
2120 m²,T2,"2,700€/month","rua Artilharia 1, Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/33948269/
144 m²,T1,"1,420€/month","rua do Lumiar, Carriche - Hospital das Forças Armadas, Lumiar",https://www.idealista.pt/en/imovel/33947503/
144 m²,T1,"1,600€/month","rua Actor Vale, Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/33947654/
263 m²,T2,"1,400€/month",,https://www.idealista.pt/en/imovel/33947450/
142 m²,T1,"1,500€/month","rua da Penha de França, Centro, Penha de França",https://www.idealista.pt/en/imovel/33947567/
275 m²,T2,"1,875€/month","rua da Páscoa, Santa Isabel, Campo de Ourique",https://www.idealista.pt/en/imovel/33947889/
160 m²,T1,"2,050€/month","rua de São Miguel, Alfama, Santa Maria Maior",https://www.idealista.pt/en/imovel/33948031/
155 m²,T1,"1,800€/month","rua Ilha do Príncipe, Anjos, Arroios",https://www.idealista.pt/en/imovel/33947840/
146 m²,T1,"1,100€/month","rua Frederico Perry Vidal, Nn, Beato, Lisboa",https://www.idealista.pt/en/imovel/34085045/
160 m²,T1,"1,300€/month","rua Barão de Sabrosa, Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/33947380/
169 m²,T1,"1,650€/monthParking included","alameda dos Oceanos, 19, Expo Central, Parque das Nações",https://www.idealista.pt/en/imovel/34085011/
2102 m²,T2,"2,400€/month","rua do Garcia, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/en/imovel/34084984/
155 m²,T1,"1,860€/month","rua João de Oliveira Miguens, 76, Doca de Alcântara, Estrela",https://www.idealista.pt/en/imovel/34084446/
142 m²,T1,895€/month,"avenida de Madrid, 12, Centro, Areeiro",https://www.idealista.pt/en/imovel/34075368/
2120 m²,T2,"2,750€/monthParking included","rua Professor Sousa da Câmara, Centro, Campolide",https://www.idealista.pt/en/imovel/34084311/
145 m²,T1,950€/month,"Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34084002/
160 m²,T1,"1,200€/monthParking included","rua Prista Monteiro, 15 loteandar, Telheiras, Carnide",https://www.idealista.pt/en/imovel/34082630/
269 m²,T2,"1,175€/month","Bairro de Santa Cruz, Benfica",https://www.idealista.pt/en/imovel/34083156/
2186 m²,T2,"2,100€/monthParking included","Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/34083077/
281 m²,T2,"1,200€/month","rua Cândido Figueiredo, Estrada de Benfica, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34081778/
184 m²,T1,"1,750€/monthParking included","rua Gonçalves Crespo, Nn, Estefânia, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34081378/
161 m²,T1,"1,400€/monthParking included","rua Luciano Freire, 18, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34080291/
250 m²,T2,"1,300€/month","rua do Paraíso, 108, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/32287004/
291 m²,T2,"1,400€/month","estrada de Benfica, Estrada de Benfica, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34080280/
2114 m²,T2,"4,200€/month","Lapa, Estrela",https://www.idealista.pt/en/imovel/34080142/
148 m²,T1,"1,600€/month","rua Infantaria 16, 85, Centro, Campo de Ourique",https://www.idealista.pt/en/imovel/32414465/
266 m²,T2,"1,400€/month","Alto de Alcântara, Alcântara",https://www.idealista.pt/en/imovel/34080073/
2110 m²,T2,"1,500€/month","avenida Almirante Gago Coutinho, 101, São João de Brito, Alvalade",https://www.idealista.pt/en/imovel/34079533/
170 m²,T1,"1,450€/monthParking included","rua Manuel Marques, Alto do Lumiar - Quinta das Conchas - Quinta do Lambert, Lumiar",https://www.idealista.pt/en/imovel/34079902/
270 m²,T2,"1,250€/month",,https://www.idealista.pt/en/imovel/34079623/
265 m²,T2,"1,800€/month",,https://www.idealista.pt/en/imovel/34079390/
166 m²,T1,"1,250€/month","rua da Arrábida, Nn, Santa Isabel, Campo de Ourique",https://www.idealista.pt/en/imovel/34079392/
180 m²,T1,"1,300€/month","avenida do Brasil, São João de Brito, Alvalade",https://www.idealista.pt/en/imovel/34078682/
276 m²,T2,"1,600€/month","rua Francisco Sanches, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34077234/
270 m²,T2,"1,500€/month","rua Rodrigues de Faria, 105, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/en/imovel/33151632/
286 m²,T2,"1,400€/month","estrada de Benfica, Nn, Fonte Nova - Calhariz, Benfica",https://www.idealista.pt/en/imovel/34074289/
290 m²,T2,"1,600€/month","Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/34074088/
155 m²,T1,"1,200€/month","Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/34073626/
