size,num_rooms,rent_price,location,url
215 m²,T2,7000€/month,"Lapa, Estrela",https://www.idealista.pt/en/imovel/34060274/
116 m²,T2,3800€/month,"Lapa, Estrela",https://www.idealista.pt/en/imovel/34060273/
58 m²,T1,1100€/month,"Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/34059527/
66 m²,T2,1400€/month,"Alto de Alcântara, Alcântara",https://www.idealista.pt/en/imovel/34059458/
50 m²,T2,1600€/month,"rua da Hera, 12, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/34059202/
90 m²,T2,2000€/month,"travessa do Noronha, Nn, Príncipe Real, Santo António",https://www.idealista.pt/en/imovel/34059264/
40 m²,T1,820€/month,,https://www.idealista.pt/en/imovel/31318559/
50 m²,T1,1250€/month,"rua Vale, 1, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/31028571/
58 m²,T1,1100€/month,"rua Alfredo Roque Gameiro, 1, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34057501/
40 m²,T1,900€/month,"rua Zófimo Pedroso, 47, Marvila, Lisboa",https://www.idealista.pt/en/imovel/34056559/
66 m²,T1,1500€/month,"rua Alfredo Roque Gameiro, Nn, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34055834/
46 m²,T1,1100€/month,"Graça, São Vicente",https://www.idealista.pt/en/imovel/34055157/
62 m²,T1,1350€/month,,https://www.idealista.pt/en/imovel/34054397/
50 m²,T1,1600€/month,"rua do Almada, 6, Bica, Misericórdia",https://www.idealista.pt/en/imovel/34022836/
60 m²,T2,1200€/month,,https://www.idealista.pt/en/imovel/30407938/
65 m²,T2,1600€/month,"rua de São Ciro, 3, Lapa, Estrela",https://www.idealista.pt/en/imovel/32591210/
108 m²,T2,2100€/month,"Alto dos Moinhos, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34053653/
45 m²,T1,950€/month,"estrada A-da-Maia, 17, Portas de Benfica - Mercado de Benfica, Benfica",https://www.idealista.pt/en/imovel/34052849/
40 m²,T1,1150€/month,"rua Prista Monteiro, 19, Telheiras, Carnide",https://www.idealista.pt/en/imovel/34052218/
84 m²,T2,1800€/month,"rua do Pau de Bandeira, 32, Lapa, Estrela",https://www.idealista.pt/en/imovel/32702706/
81 m²,T2,1600€/month,"avenida General Roçadas, 72, Centro, Penha de França",https://www.idealista.pt/en/imovel/34051207/
62 m²,T2,1200€/month,"rua Doutor Rafael Duque, Nn, Arneiros, Benfica",https://www.idealista.pt/en/imovel/34049691/
50 m²,T1,1000€/month,"rua Cláudio Nunes, 82, Arneiros, Benfica",https://www.idealista.pt/en/imovel/34048751/
56 m²,T2,1300€/month,"travessa do Olival à Graça, Santa Engrácia, São Vicente",https://www.idealista.pt/en/imovel/34048591/
77 m²,T1,1100€/month,"alameda António Sérgio, 4, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/34046852/
86 m²,T2,1250€/month,"rua General Leman, 11, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34048140/
62 m²,T1,1100€/month,"avenida das Forças Armadas, 97, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34048058/
97 m²,T2,3000€/month,"rua Damasceno Monteiro, 21 a, Anjos, Arroios",https://www.idealista.pt/en/imovel/34047049/
107 m²,T2,1950€/month,"Centro, Campolide",https://www.idealista.pt/en/imovel/33870458/
42 m²,T1,2000€/month,"rua de Santo António da Glória, Praça da Alegria, Santo António",https://www.idealista.pt/en/imovel/34040039/
73 m²,T2,1875€/month,"rua dos Mouros, 32, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34057948/
58 m²,T1,2000€/month,"rua do Vale, 27, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34061283/
44 m²,T1,1300€/month,"largo do Mastro, 13, Pena, Arroios",https://www.idealista.pt/en/imovel/34053695/
50 m²,T1,1400€/month,"rua Professor Simões Raposo, 9, Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34053659/
68 m²,T1,1195€/month,"rua Ferreira Borges, Santa Isabel, Campo de Ourique",https://www.idealista.pt/en/imovel/34049766/
55 m²,T2,1500€/month,"rua Jau, 14, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/en/imovel/34049199/
