size,num_rooms,rent_price,location,url
T166 m²,T1,"1,500€/month","rua Alfredo Roque Gameiro, Nn, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34055834/
T146 m²,T1,"1,100€/month","Graça, São Vicente",https://www.idealista.pt/en/imovel/34055157/
T162 m²,T1,"1,350€/month",,https://www.idealista.pt/en/imovel/34054397/
T150 m²,T1,"1,600€/month1,700 €6%","rua do Almada, 6, Bica, Misericórdia",https://www.idealista.pt/en/imovel/34022836/
T260 m²,T2,"1,200€/month",,https://www.idealista.pt/en/imovel/30407938/
T265 m²,T2,"1,600€/month","rua de São Ciro, 3, Lapa, Estrela",https://www.idealista.pt/en/imovel/32591210/
T2108 m²,T2,"2,100€/monthParking included","Alto dos Moinhos, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34053653/
T145 m²,T1,950€/month,"estrada A-da-Maia, 17, Portas de Benfica - Mercado de Benfica, Benfica",https://www.idealista.pt/en/imovel/34052849/
T140 m²,T1,"1,150€/monthParking included","rua Prista Monteiro, 19, Telheiras, Carnide",https://www.idealista.pt/en/imovel/34052218/
T284 m²,T2,"1,800€/month","rua do Pau de Bandeira, 32, Lapa, Estrela",https://www.idealista.pt/en/imovel/32702706/
T281 m²,T2,"1,600€/month","avenida General Roçadas, 72, Centro, Penha de França",https://www.idealista.pt/en/imovel/34051207/
T262 m²,T2,"1,200€/month","rua Doutor Rafael Duque, Nn, Arneiros, Benfica",https://www.idealista.pt/en/imovel/34049691/
T150 m²,T1,"1,000€/month","rua Cláudio Nunes, 82, Arneiros, Benfica",https://www.idealista.pt/en/imovel/34048751/
T256 m²,T2,"1,300€/month","travessa do Olival à Graça, Santa Engrácia, São Vicente",https://www.idealista.pt/en/imovel/34048591/
T177 m²,T1,"1,100€/month","alameda António Sérgio, 4, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/34046852/
T286 m²,T2,"1,250€/month","rua General Leman, 11, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34048140/
T162 m²,T1,"1,100€/month","avenida das Forças Armadas, 97, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34048058/
T297 m²,T2,"3,000€/month","rua Damasceno Monteiro, 21 a, Anjos, Arroios",https://www.idealista.pt/en/imovel/34047049/
T2107 m²,T2,"1,950€/month","Centro, Campolide",https://www.idealista.pt/en/imovel/33870458/
T142 m²,T1,"2,000€/month","rua de Santo António da Glória, Praça da Alegria, Santo António",https://www.idealista.pt/en/imovel/34040039/
T273 m²,T2,"1,875€/month","rua dos Mouros, 32, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34057948/
T158 m²,T1,"2,000€/month","rua do Vale, 27, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34061283/
T144 m²,T1,"1,300€/month","largo do Mastro, 13, Pena, Arroios",https://www.idealista.pt/en/imovel/34053695/
T150 m²,T1,"1,400€/monthParking included","rua Professor Simões Raposo, 9, Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34053659/
T168 m²,T1,"1,195€/month","rua Ferreira Borges, Santa Isabel, Campo de Ourique",https://www.idealista.pt/en/imovel/34049766/
T255 m²,T2,"1,500€/month","rua Jau, 14, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/en/imovel/34049199/
T150 m²,T1,"1,300€/month","rua Coronel Pereira da Silva, Centro, Ajuda",https://www.idealista.pt/en/imovel/34048399/
T2119 m²,T2,"3,300€/monthParking included","rua Actor Taborda, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/31830537/
T198 m²,T1,"2,100€/monthParking included","Beato, Lisboa",https://www.idealista.pt/en/imovel/34046613/
T290 m²,T2,"2,800€/month","Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34051326/
T1100 m²,T1,"2,500€/month","Santos-o-Velho - Madragoa, Estrela",https://www.idealista.pt/en/imovel/34057943/
T2100 m²,T2,"2,950€/monthParking included","Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34048290/
T2152 m²,T2,"3,300€/monthParking included","rua Padre Luís Aparício, Nn, Campo de Santana - Santa Marta, Santo António",https://www.idealista.pt/en/imovel/34059251/
T154 m²,T1,"1,500€/month","avenida Defensores de Chaves, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34039820/
T290 m²,T2,"2,000€/month","travessa do Noronha, 22, Príncipe Real, Santo António",https://www.idealista.pt/en/imovel/34048483/
T2118 m²,T2,"1,500€/monthParking included","rua Teófilo Carvalho dos Santos, 11, Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34053382/
T261 m²,T2,"1,200€/month","travessa Fornos, Nn, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/en/imovel/34042180/
T2118 m²,T2,"2,500€/month","rua Doutor António Cândido, 8, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/34050926/
T2112 m²,T2,"2,950€/month","Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34055836/
T274 m²,T2,"1,150€/month","Marvila, Lisboa",https://www.idealista.pt/en/imovel/34056088/
T275 m²,T2,"3,667€/month","estrada da Luz, Laranjeiras, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34053143/
T250 m²,T2,"5,000€/month","praça Dom Luís I, Cais do Sodré - Santos, Misericórdia",https://www.idealista.pt/en/imovel/34053178/
T250 m²,T2,"7,167€/month","rua Augusta, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34053173/
T150 m²,T1,"3,200€/month","praça Dom Luís I, Cais do Sodré - Santos, Misericórdia",https://www.idealista.pt/en/imovel/34057390/
T287 m²,T2,"5,500€/month","rua da Bombarda, Anjos, Arroios",https://www.idealista.pt/en/imovel/34053117/
T250 m²,T2,"6,333€/month","rua de Santa Justa, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34053126/
